order_date,abn,respb_scene,respb_scene_name,actualcnt,cnt,ratio_payed
2016-12-06,abn2,2-3-3,运力接单后，取餐前__非商户原因取消运单,1492,2.702702703,0.027224678
2016-12-06,abn2,2-4-2,取餐后__快送选推超时,2,0.003622926,3.64942E-05
2016-12-07,abn2,2-2-3,商户确认订单后，运力接单前__运单被退回商户（选推）,18741,34.74029585,0.338284649
2016-12-07,abn2,2-3-2,运力接单后，取餐前__商户取消运单,2916,5.405405405,0.052635294
2016-12-07,abn2,2-4-1,取餐后__专送超时,28,0.051903756,0.000505414
2016-12-08,abn1,1-3-9,运力接单后，取餐前__物流系统原因,118,0.528484414,0.002070331
2016-12-08,abn1-ydnorm,1-4-4,取餐后__快送／选推配送超时未送达导致订单取消（T之外）,9,4.186046512,0.000157907
2016-12-08,abn2,2-2-2,商户确认订单后，运力接单前__运单被退回商户（快送）,133,0.20066385,0.002333509
2016-12-08,abn2-chaoshi,2-4-OTHER,取餐后__其他标品超时,41050,30.70903841,0.720229645
2016-12-09,abn1,1-2-9,商户确认订单后，运力接单前__营业时间外，运单被退回,74,0.333874752,0.00127096
2016-12-09,abn1,1-4-7,取餐后__其他标品T 时间未送达导致订单取消,142,0.640678578,0.002438869
2016-12-09,abn1-ydnorm,1-2-5,商户确认订单后，运力接单前__自配送超时用户取消,1,0.462962963,1.71751E-05
2016-12-09,abn1-ydnorm,1-4-3,取餐后__专送超时未送达导致订单取消（T之外),42,19.44444444,0.000721355
2016-12-09,abn2,2-2-1,商户确认订单后，运力接单前__运单被退回商户（专送）,5718,9.692346809,0.098207397
2016-12-10,abn2,2-2-3,商户确认订单后，运力接单前__运单被退回商户（选推）,19228,29.26235371,0.295495295
2016-12-10,abn2,2-3-2,运力接单后，取餐前__商户取消运单,2813,4.280996515,0.043230095
2016-12-10,abn2,2-4-1,取餐后__专送超时,34,0.051743292,0.000522511
2016-12-11,abn1,1-3-9,运力接单后，取餐前__物流系统原因,153,0.602813128,0.002289708
2016-12-11,abn1-ydnorm,1-4-4,取餐后__快送／选推配送超时未送达导致订单取消（T之外）,10,3.984063745,0.000149654
2016-12-11,abn2,2-2-2,商户确认订单后，运力接单前__运单被退回商户（快送）,178,0.263041229,0.002663843
2016-12-11,abn2-chaoshi,2-4-OTHER,取餐后__其他标品超时,56386,33.59168816,0.843839549
2016-12-12,abn1,1-2-9,商户确认订单后，运力接单前__营业时间外，运单被退回,132,0.478191566,0.002064037
2016-12-12,abn1,1-4-7,取餐后__其他标品T 时间未送达导致订单取消,326,1.180988263,0.005097547
2016-12-12,abn1-ydnorm,1-2-5,商户确认订单后，运力接单前__自配送超时用户取消,2,0.617283951,3.12733E-05
2016-12-12,abn1-ydnorm,1-4-3,取餐后__专送超时未送达导致订单取消（T之外),54,16.66666667,0.000844379
2016-12-12,abn2,2-2-1,商户确认订单后，运力接单前__运单被退回商户（专送）,6311,9.359196809,0.098682878
2016-12-13,abn1,1-2-8,商户确认订单后，运力接单前__运单被退回商户选择取消订单（选推）,149,0.488925349,0.002341578
2016-12-13,abn1,1-2-OTHER,商户确认订单后，运力接单前__其他标品运单取消导致订单取消,208,0.682526661,0.00326878
2016-12-13,abn1,1-3-7,运力接单后，取餐前__骑手标记商户原因取消,576,1.890073831,0.009052005
2016-12-13,abn1,1-4-6,取餐后__骑手标记配送异常（配送商、骑手原因）,154,0.50533224,0.002420154
2016-12-13,abn1-ydnorm,1-3-3,运力接单后，取餐前__商户取消订单,5,1.358695652,7.85764E-05
2016-12-13,abn2-chaoshi,2-4-2,取餐后__快送选推超时,13515,7.973027981,0.212392101
2016-12-13,abn3,3-2-4,商户确认订单后，运力接单前__180分钟未送达被系统取消,26,0.012395827,0.000408597
2016-12-14,abn1,1-2-7,商户确认订单后，运力接单前__运单被退回商户选择取消订单（快送）,9,0.035374577,0.000143508
2016-12-14,abn1,1-3-6,运力接单后，取餐前__骑手或配送商原因,474,1.86306108,0.007558111
2016-12-14,abn1,1-4-5,取餐后__180分钟运单未送达导致订单被取消,34,0.133637293,0.000542143
2016-12-14,abn1-ydnorm,1-2-3,商户确认订单后，运力接单前__T 之内商户取消,3,0.983606557,4.78361E-05
2016-12-14,abn1-ydnorm,1-4-1,取餐后__T 之内用户取消,121,39.67213115,0.001929391
2016-12-14,abn2-chaoshi,2-4-1,取餐后__专送超时,97342,60.02244475,1.552155433
2016-12-15,abn1,1-2-6,商户确认订单后，运力接单前__运单被退回商户选择取消订单（专送）,882,3.466163641,0.014131705
2016-12-15,abn1,1-3-5,运力接单后，取餐前__180分钟运单未完成,78,0.306531478,0.001249743
2016-12-15,abn1,1-4-4,取餐后__快送／选推配送超时未送达导致订单取消（T之外）,34,0.133616285,0.00054476
2016-12-15,abn1-ydnorm,1-3-1,运力接单后，取餐前__用户取消,48,19.43319838,0.000769072
2016-12-15,abn3,3-1-3,商户确认订单前__风控取消,21453,12.02414582,0.343727293
2016-12-15,abn3,3-2-2,商户确认订单后，运力接单前__取消订单,8586,4.812348668,0.137567825
2016-12-16,abn1,1-2-10,商户确认订单后，运力接单前__运单退回后商户选择自配送系统自动取消,2,0.008013784,3.16669E-05
2016-12-16,abn1,1-2-5,商户确认订单后，运力接单前__自配送超时用户取消,366,1.466522419,0.00579505
2016-12-16,abn1,1-2-61,商户确认订单后，运力接单前__（专送）运单被退回（非商户）取消订单,2217,8.88327924,0.035102803
2016-12-16,abn1,1-3-4,运力接单后，取餐前__商户取消运单,8,0.032055135,0.000126668
2016-12-16,abn1,1-4-3,取餐后__专送超时未送达导致订单取消（T之外),932,3.734423208,0.014756794
2016-12-16,abn1-ydnorm,1-2-1,商户确认订单后，运力接单前__T 之内取消,11,3.971119134,0.000174168
2016-12-16,abn3,3-1-2,商户确认订单前__商户拒单,17281,10.05633082,0.273618193
2016-12-16,abn3,3-2-1,商户确认订单后，运力接单前__用户取消,17040,9.916085707,0.269802327
2016-12-17,abn1,1-3-3,运力接单后，取餐前__商户取消订单,4236,16.44409938,0.063103212
2016-12-17,abn1,1-4-2,取餐后__骑手标记配送异常（用户原因）,2377,9.227484472,0.0354099
2016-12-17,abn3,3-1-1,商户确认订单前__商户未接单被系统取消,74431,39.32239386,1.108790176
2016-12-18,abn1,1-2-3,商户确认订单后，运力接单前__T 之内商户取消,439,1.789499429,0.006461457
2016-12-18,abn1,1-4-1,取餐后__T 之内用户取消,13,0.05299201,0.000191342
2016-12-18,abn3,3-1-0,商户确认订单前__商户确认前用户取消,37879,20.0844119,0.557525147
2016-12-19,abn1,1-2-2,商户确认订单后，运力接单前__超时呼单,162,0.682105263,0.002606951
2016-12-19,abn1,1-3-1,运力接单后，取餐前__用户取消,9506,40.02526316,0.152973283
2016-12-19,abn2,2-4-4,取餐后__配送完成，但被标欺诈,24110,39.2959009,0.387985048
2016-12-19,abn2,2-4-OTHER,取餐后__其他标品超时,14,0.022818026,0.000225292
2016-12-20,abn1,1-3-3,运力接单后，取餐前__商户取消订单,4268,14.89859322,0.064274243
2016-12-20,abn1,1-4-2,取餐后__骑手标记配送异常（用户原因）,3118,10.88421126,0.046955738
2016-12-20,abn3,3-1-1,商户确认订单前__商户未接单被系统取消,105868,49.25078039,1.594326518
2016-12-21,abn1,1-2-3,商户确认订单后，运力接单前__T 之内商户取消,741,1.359134263,0.011004552
2016-12-21,abn1,1-4-1,取餐后__T 之内用户取消,83,0.152237711,0.001232629
2016-12-21,abn3,3-1-0,商户确认订单前__商户确认前用户取消,56819,20.55553747,0.843815999
2016-12-22,abn1,1-2-2,商户确认订单后，运力接单前__超时呼单,171,0.647751809,0.00261804
2016-12-22,abn1,1-3-1,运力接单后，取餐前__用户取消,10328,39.12269404,0.158123487
2016-12-22,abn2,2-4-4,取餐后__配送完成，但被标欺诈,25528,39.90121604,0.390838146
2016-12-22,abn2,2-4-OTHER,取餐后__其他标品超时,25,0.039075932,0.000382754
2016-12-23,abn1,1-2-1,商户确认订单后，运力接单前__T 之内取消,4342,15.71594035,0.066646948
2016-12-23,abn1-ydnorm,1-4-7,取餐后__其他标品T 时间未送达导致订单取消,13,4.924242424,0.000199542
2016-12-23,abn2,2-4-3,取餐后__配送异常(用户原因),2527,3.932951503,0.038787848
2016-12-24,abn1,1-2-71,商户确认订单后，运力接单前__（快送）运单被退回（非商户）取消订单,187,0.431014613,0.002565669
2016-12-24,abn2,2-2-4,商户确认订单后，运力接单前__营业时间外运单退回商家自配送,5121,6.329645881,0.070260927
2016-12-24,abn2,2-2-OTHER,商户确认订单后，运力接单前__运单被退回商户（其他标品）,584,0.72183425,0.008012572
2016-12-24,abn2,2-3-3,运力接单后，取餐前__非商户原因取消运单,2938,3.631419566,0.040309823
2016-12-24,abn2,2-4-2,取餐后__快送选推超时,4,0.00494407,5.48806E-05
2016-12-25,abn2,2-2-3,商户确认订单后，运力接单前__运单被退回商户（选推）,25797,27.02586613,0.330363177
2016-12-25,abn2,2-3-2,运力接单后，取餐前__商户取消运单,11634,12.18819733,0.148988068
2016-12-25,abn2,2-4-1,取餐后__专送超时,103,0.107906509,0.001319045
2016-12-26,abn1,1-3-9,运力接单后，取餐前__物流系统原因,338,0.788742912,0.0047663
2016-12-26,abn1-ydnorm,1-4-4,取餐后__快送／选推配送超时未送达导致订单取消（T之外）,8,1.62601626,0.000112812
2016-12-26,abn2,2-2-2,商户确认订单后，运力接单前__运单被退回商户（快送）,250,0.29689801,0.00352537
2016-12-26,abn2-chaoshi,2-4-OTHER,取餐后__其他标品超时,76968,32.30013849,1.085362595
2016-12-27,abn1,1-2-9,商户确认订单后，运力接单前__营业时间外，运单被退回,80,0.228238852,0.001140202
2016-12-27,abn1,1-4-7,取餐后__其他标品T 时间未送达导致订单取消,328,0.935779293,0.004674828
2016-12-27,abn1-ydnorm,1-4-3,取餐后__专送超时未送达导致订单取消（T之外),72,25.44169611,0.001026182
2016-12-27,abn2,2-2-1,商户确认订单后，运力接单前__运单被退回商户（专送）,9623,12.45308901,0.137152041
2016-12-28,abn1,1-2-8,商户确认订单后，运力接单前__运单被退回商户选择取消订单（选推）,152,0.455376135,0.00217286
2016-12-28,abn1,1-2-OTHER,商户确认订单后，运力接单前__其他标品运单取消导致订单取消,286,0.856826148,0.004088407
2016-12-28,abn1,1-3-7,运力接单后，取餐前__骑手标记商户原因取消,592,1.773570209,0.008462716
2016-12-28,abn1,1-4-6,取餐后__骑手标记配送异常（配送商、骑手原因）,153,0.45837203,0.002187155
2016-12-28,abn1-ydnorm,1-3-3,运力接单后，取餐前__商户取消订单,5,1.543209877,7.14756E-05
2016-12-28,abn2-chaoshi,2-4-2,取餐后__快送选推超时,15300,7.41318578,0.218715468
2016-12-28,abn3,3-2-4,商户确认订单后，运力接单前__180分钟未送达被系统取消,21,0.008619593,0.000300198
2016-12-29,abn1,1-2-7,商户确认订单后，运力接单前__运单被退回商户选择取消订单（快送）,23,0.071178783,0.000327825
2016-12-29,abn1,1-3-6,运力接单后，取餐前__骑手或配送商原因,718,2.222015907,0.010233827
2016-12-29,abn1,1-4-5,取餐后__180分钟运单未送达导致订单被取消,55,0.170210132,0.000783928
2016-12-29,abn1-ydnorm,1-2-3,商户确认订单后，运力接单前__T 之内商户取消,13,4.513888889,0.000185292
2016-12-29,abn1-ydnorm,1-4-1,取餐后__T 之内用户取消,103,35.76388889,0.001468084
2016-12-29,abn2-chaoshi,2-4-1,取餐后__专送超时,120441,58.06344309,1.716674639
2016-12-30,abn1,1-2-9,商户确认订单后，运力接单前__营业时间外，运单被退回,95,0.305024884,0.001386663
2016-12-30,abn1,1-4-7,取餐后__其他标品T 时间未送达导致订单取消,247,0.793064697,0.003605325
2016-12-30,abn1-ydnorm,1-4-3,取餐后__专送超时未送达导致订单取消（T之外),59,21.14695341,0.000861191
2016-12-30,abn2,2-2-1,商户确认订单后，运力接单前__运单被退回商户（专送）,8858,11.58196153,0.129295409
2016-12-31,abn1,1-2-8,商户确认订单后，运力接单前__运单被退回商户选择取消订单（选推）,135,0.425907815,0.002060569
2016-12-31,abn1,1-2-OTHER,商户确认订单后，运力接单前__其他标品运单取消导致订单取消,371,1.170457772,0.005662748
2016-12-31,abn1,1-3-7,运力接单后，取餐前__骑手标记商户原因取消,528,1.665772786,0.008059112
2016-12-31,abn1,1-4-6,取餐后__骑手标记配送异常（配送商、骑手原因）,127,0.400668833,0.001938461
2016-12-31,abn1-ydnorm,1-3-3,运力接单后，取餐前__商户取消订单,4,1.777777778,6.10539E-05
2016-12-31,abn2-chaoshi,2-4-2,取餐后__快送选推超时,18626,9.276496984,0.2842974
2016-12-31,abn3,3-2-4,商户确认订单后，运力接单前__180分钟未送达被系统取消,22,0.009719933,0.000335796
2017-01-01,abn1,1-2-71,商户确认订单后，运力接单前__（快送）运单被退回（非商户）取消订单,152,0.453921042,0.002403599
2017-01-01,abn1,1-2-8,商户确认订单后，运力接单前__运单被退回商户选择取消订单（选推）,165,0.492743236,0.00260917
2017-01-01,abn1,1-2-OTHER,商户确认订单后，运力接单前__其他标品运单取消导致订单取消,382,1.140775249,0.006040624
2017-01-01,abn1,1-3-7,运力接单后，取餐前__骑手标记商户原因取消,658,1.965000299,0.010405054
2017-01-01,abn1,1-4-6,取餐后__骑手标记配送异常（配送商、骑手原因）,124,0.370304008,0.001960831
2017-01-01,abn1-ydnorm,1-3-3,运力接单后，取餐前__商户取消订单,5,2.040816327,7.90658E-05
2017-01-01,abn2,2-2-OTHER,商户确认订单后，运力接单前__运单被退回商户（其他标品）,620,0.795116446,0.009804154
2017-01-01,abn3,3-2-4,商户确认订单后，运力接单前__180分钟未送达被系统取消,23,0.009326807,0.000363702
2017-01-02,abn1,1-2-7,商户确认订单后，运力接单前__运单被退回商户选择取消订单（快送）,13,0.045167118,0.000191892
2017-01-02,abn1,1-3-6,运力接单后，取餐前__骑手或配送商原因,877,3.047043291,0.012945297
2017-01-02,abn1,1-4-5,取餐后__180分钟运单未送达导致订单被取消,47,0.163296505,0.000693762
2017-01-02,abn1-ydnorm,1-2-3,商户确认订单后，运力接单前__T 之内商户取消,6,3.20855615,8.85653E-05
2017-01-02,abn1-ydnorm,1-4-1,取餐后__T 之内用户取消,85,45.45454545,0.001254675
2017-01-03,abn1,1-2-6,商户确认订单后，运力接单前__运单被退回商户选择取消订单（专送）,1153,4.043627692,0.017572046
2017-01-03,abn1,1-3-5,运力接单后，取餐前__180分钟运单未完成,150,0.526057375,0.002286042
2017-01-03,abn1,1-4-4,取餐后__快送／选推配送超时未送达导致订单取消（T之外）,42,0.147296065,0.000640092
2017-01-03,abn1-ydnorm,1-3-1,运力接单后，取餐前__用户取消,41,19.1588785,0.000624852
2017-01-03,abn3,3-1-3,商户确认订单前__风控取消,18071,9.311444663,0.275407152
2017-01-03,abn3,3-2-2,商户确认订单后，运力接单前__取消订单,10590,5.456709589,0.161394596
2017-01-04,abn1,1-2-5,商户确认订单后，运力接单前__自配送超时用户取消,474,1.549931332,0.006997237
2017-01-04,abn1,1-3-4,运力接单后，取餐前__商户取消运单,10,0.032698973,0.000147621
2017-01-04,abn1,1-4-3,取餐后__专送超时未送达导致订单取消（T之外),1372,4.48629913,0.020253607
2017-01-04,abn1-ydnorm,1-2-1,商户确认订单后，运力接单前__T 之内取消,7,2.592592593,0.000103335
2017-01-04,abn3,3-1-2,商户确认订单前__商户拒单,21547,10.42237034,0.318079061
2017-01-04,abn3,3-2-1,商户确认订单后，运力接单前__用户取消,17249,8.3434105,0.254631536
2017-01-05,abn1,1-3-3,运力接单后，取餐前__商户取消订单,5178,11.46666076,0.071724485
2017-01-05,abn1,1-4-2,取餐后__骑手标记配送异常（用户原因）,5265,11.65932192,0.072929589
2017-01-05,abn2-chaoshi,2-4-2,取餐后__快送选推超时,15302,7.066494876,0.211959843
2017-01-05,abn3,3-1-1,商户确认订单前__商户未接单被系统取消,107464,45.10310036,1.488567023
2017-01-06,abn1,1-2-3,商户确认订单后，运力接单前__T 之内商户取消,625,1.643828411,0.009046407
2017-01-06,abn1,1-4-1,取餐后__T 之内用户取消,47,0.123615896,0.00068029
2017-01-06,abn2-chaoshi,2-4-1,取餐后__专送超时,114230,55.69722708,1.653393778
2017-01-06,abn3,3-1-0,商户确认订单前__商户确认前用户取消,55624,24.53704112,0.80511578
2017-01-07,abn1,1-2-2,商户确认订单后，运力接单前__超时呼单,611,1.247804599,0.008231084
2017-01-07,abn1,1-3-1,运力接单后，取餐前__用户取消,16112,32.90446432,0.217052731
2017-01-07,abn2,2-4-4,取餐后__配送完成，但被标欺诈,25597,27.34079597,0.344829862
2017-01-07,abn2,2-4-OTHER,取餐后__其他标品超时,29,0.030975625,0.000390673
2017-01-08,abn1,1-2-1,商户确认订单后，运力接单前__T 之内取消,6721,18.28594749,0.09573324
2017-01-08,abn1,1-2-10,商户确认订单后，运力接单前__运单退回后商户选择自配送系统自动取消,1,0.002720718,1.42439E-05
2017-01-08,abn1,1-2-61,商户确认订单后，运力接单前__（专送）运单被退回（非商户）取消订单,4587,12.4799347,0.065336761
2017-01-08,abn1-ydnorm,1-4-7,取餐后__其他标品T 时间未送达导致订单取消,4,2.051282051,5.69756E-05
2017-01-08,abn2,2-4-3,取餐后__配送异常(用户原因),3464,4.160811022,0.049340864
2017-01-09,abn2,2-2-4,商户确认订单后，运力接单前__营业时间外运单退回商家自配送,5410,7.270528155,0.084790975
2017-01-09,abn2,2-3-3,运力接单后，取餐前__非商户原因取消运单,2692,3.617793307,0.042191739
2017-01-09,abn2,2-4-2,取餐后__快送选推超时,2,0.002687811,3.1346E-05
2017-01-10,abn1,1-2-2,商户确认订单后，运力接单前__超时呼单,374,0.941923135,0.005817293
2017-01-10,abn1,1-3-1,运力接单后，取餐前__用户取消,13282,33.45086385,0.206591678
2017-01-10,abn2,2-4-4,取餐后__配送完成，但被标欺诈,21206,24.73983854,0.329843631
2017-01-10,abn2,2-4-OTHER,取餐后__其他标品超时,24,0.02799944,0.000373302
2017-01-11,abn1,1-2-1,商户确认订单后，运力接单前__T 之内取消,8473,18.3935743,0.133111674
2017-01-11,abn1,1-2-10,商户确认订单后，运力接单前__运单退回后商户选择自配送系统自动取消,4,0.008683382,6.28404E-05
2017-01-11,abn1,1-2-61,商户确认订单后，运力接单前__（专送）运单被退回（非商户）取消订单,7066,15.33919462,0.111007564
2017-01-11,abn1-ydnorm,1-4-7,取餐后__其他标品T 时间未送达导致订单取消,8,2.631578947,0.000125681
2017-01-11,abn2,2-4-3,取餐后__配送异常(用户原因),5657,5.607875015,0.088872034
2017-01-12,abn2,2-2-4,商户确认订单后，运力接单前__营业时间外运单退回商家自配送,6036,5.954894339,0.097404059
2017-01-12,abn2,2-3-3,运力接单后，取餐前__非商户原因取消运单,3149,3.106686924,0.050816001
2017-01-13,abn2,2-2-3,商户确认订单后，运力接单前__运单被退回商户（选推）,35904,37.03581449,0.626911518
2017-01-13,abn2,2-3-2,运力接单后，取餐前__商户取消运单,6604,6.812180228,0.115310931
2017-01-13,abn2,2-4-1,取餐后__专送超时,40,0.041260934,0.000698431
2017-01-14,abn1,1-3-9,运力接单后，取餐前__物流系统原因,109,0.265814759,0.001953458
2017-01-14,abn1-ydnorm,1-4-4,取餐后__快送／选推配送超时未送达导致订单取消（T之外）,17,8.90052356,0.000304668
2017-01-14,abn2,2-2-2,商户确认订单后，运力接单前__运单被退回商户（快送）,667,0.667293609,0.011953731
2017-01-14,abn2-chaoshi,2-4-OTHER,取餐后__其他标品超时,85156,42.05151503,1.526134762
2017-01-15,abn1,1-2-9,商户确认订单后，运力接单前__营业时间外，运单被退回,217,0.490894695,0.003965553
2017-01-15,abn1,1-4-7,取餐后__其他标品T 时间未送达导致订单取消,328,0.741997512,0.005994016
2017-01-15,abn1-ydnorm,1-4-3,取餐后__专送超时未送达导致订单取消（T之外),46,23.95833333,0.000840624
2017-01-15,abn2,2-2-1,商户确认订单后，运力接单前__运单被退回商户（专送）,19596,18.77335173,0.35810592
2017-01-16,abn1,1-2-71,商户确认订单后，运力接单前__（快送）运单被退回（非商户）取消订单,135,0.34046202,0.002650519
2017-01-16,abn1,1-2-8,商户确认订单后，运力接单前__运单被退回商户选择取消订单（选推）,285,0.718753152,0.005595539
2017-01-16,abn1,1-2-OTHER,商户确认订单后，运力接单前__其他标品运单取消导致订单取消,360,0.907898719,0.007068049
2017-01-16,abn1,1-3-7,运力接单后，取餐前__骑手标记商户原因取消,631,1.591344699,0.01238872
2017-01-16,abn1,1-4-6,取餐后__骑手标记配送异常（配送商、骑手原因）,200,0.504388177,0.003926694
2017-01-16,abn1-ydnorm,1-3-3,运力接单后，取餐前__商户取消订单,2,0.772200772,3.92669E-05
2017-01-16,abn2,2-2-OTHER,商户确认订单后，运力接单前__运单被退回商户（其他标品）,847,0.974246311,0.01662955
2017-01-16,abn3,3-2-4,商户确认订单后，运力接单前__180分钟未送达被系统取消,24,0.01251323,0.000471203
2017-01-17,abn1,1-2-7,商户确认订单后，运力接单前__运单被退回商户选择取消订单（快送）,42,0.101243853,0.000826245
2017-01-17,abn1,1-3-6,运力接单后，取餐前__骑手或配送商原因,1532,3.692990068,0.030138252
2017-01-17,abn1,1-4-5,取餐后__180分钟运单未送达导致订单被取消,68,0.163918619,0.001337729
2017-01-17,abn1-ydnorm,1-2-3,商户确认订单后，运力接单前__T 之内商户取消,5,1.945525292,9.83624E-05
2017-01-17,abn1-ydnorm,1-4-1,取餐后__T 之内用户取消,101,39.29961089,0.001986921
2017-01-18,abn1,1-2-6,商户确认订单后，运力接单前__运单被退回商户选择取消订单（专送）,2420,4.293825408,0.047027155
2017-01-18,abn1,1-3-5,运力接单后，取餐前__180分钟运单未完成,353,0.626330731,0.006859746
2017-01-18,abn1,1-4-4,取餐后__快送／选推配送超时未送达导致订单取消（T之外）,54,0.095812633,0.001049366
2017-01-18,abn1-ydnorm,1-3-1,运力接单后，取餐前__用户取消,62,18.61861862,0.001204828
2017-01-18,abn3,3-1-3,商户确认订单前__风控取消,14805,6.896342912,0.287701252
2017-01-18,abn3,3-2-2,商户确认订单后，运力接单前__取消订单,10577,4.926890846,0.20553976
2017-01-19,abn1,1-2-5,商户确认订单后，运力接单前__自配送超时用户取消,1573,2.786734224,0.032122514
2017-01-19,abn1,1-3-4,运力接单后，取餐前__商户取消运单,3,0.005314814,6.12635E-05
2017-01-19,abn1,1-4-3,取餐后__专送超时未送达导致订单取消（T之外),2841,5.033129008,0.058016569
2017-01-19,abn1-ydnorm,1-2-1,商户确认订单后，运力接单前__T 之内取消,13,4.609929078,0.000265475
2017-01-19,abn3,3-1-2,商户确认订单前__商户拒单,31573,13.48772038,0.644757873
2017-01-19,abn3,3-2-1,商户确认订单后，运力接单前__用户取消,13393,5.721377095,0.273500846
2017-01-20,abn1,1-2-7,商户确认订单后，运力接单前__运单被退回商户选择取消订单（快送）,148,0.224215247,0.003261858
2017-01-20,abn1,1-3-6,运力接单后，取餐前__骑手或配送商原因,2231,3.379893346,0.049170298
2017-01-20,abn1,1-4-5,取餐后__180分钟运单未送达导致订单被取消,109,0.165131499,0.002402314
2017-01-20,abn1-ydnorm,1-2-3,商户确认订单后，运力接单前__T 之内商户取消,10,3.731343284,0.000220396
2017-01-20,abn1-ydnorm,1-4-1,取餐后__T 之内用户取消,73,27.23880597,0.001608889
2017-01-21,abn1,1-2-6,商户确认订单后，运力接单前__运单被退回商户选择取消订单（专送）,3984,5.898901359,0.093202314
2017-01-21,abn1,1-3-5,运力接单后，取餐前__180分钟运单未完成,576,0.852853209,0.013475033
2017-01-21,abn1,1-4-4,取餐后__快送／选推配送超时未送达导致订单取消（T之外）,34,0.05034203,0.000795401
2017-01-21,abn1-ydnorm,1-3-1,运力接单后，取餐前__用户取消,76,35.18518519,0.001777956
2017-01-21,abn3,3-1-3,商户确认订单前__风控取消,12458,5.591812918,0.291444383
2017-01-21,abn3,3-2-2,商户确认订单后，运力接单前__取消订单,10920,4.901476727,0.255464173
2017-01-22,abn1,1-2-5,商户确认订单后，运力接单前__自配送超时用户取消,2246,3.215691889,0.05936431
2017-01-22,abn1,1-3-4,运力接单后，取餐前__商户取消运单,5,0.007158709,0.000132156
2017-01-22,abn1,1-4-3,取餐后__专送超时未送达导致订单取消（T之外),2530,3.622306536,0.06687075
2017-01-22,abn1-ydnorm,1-2-1,商户确认订单后，运力接单前__T 之内取消,14,7.90960452,0.000370036
2017-01-22,abn3,3-1-2,商户确认订单前__商户拒单,39011,18.49923416,1.031104678
2017-01-22,abn3,3-2-1,商户确认订单后，运力接单前__用户取消,12513,5.933734511,0.330732687
2017-01-23,abn1,1-3-3,运力接单后，取餐前__商户取消订单,5014,10.63053895,0.153334834
2017-01-23,abn1,1-4-2,取餐后__骑手标记配送异常（用户原因）,2398,5.084170801,0.073334051
2017-01-23,abn2-chaoshi,2-4-2,取餐后__快送选推超时,8326,5.242412794,0.254620229
2017-01-23,abn3,3-1-1,商户确认订单前__商户未接单被系统取消,99066,47.77949262,3.029570932
2017-01-24,abn1,1-2-3,商户确认订单后，运力接单前__T 之内商户取消,874,1.826655799,0.030888435
2017-01-24,abn1,1-4-1,取餐后__T 之内用户取消,28,0.058519865,0.000989561
